antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'이대'}),frozenset({'강남'}),0.25165562913907286,0.37748344370860926,0.11920529801324503,0.47368421052631576,1.254847645429363,0.02420946449717118,1.1827814569536423,0.27138643067846613
frozenset({'강남'}),frozenset({'이대'}),0.37748344370860926,0.25165562913907286,0.11920529801324503,0.3157894736842105,1.2548476454293627,0.02420946449717118,1.0937340804890474,0.326241134751773
frozenset({'이대'}),frozenset({'홍대'}),0.25165562913907286,0.31788079470198677,0.10596026490066225,0.42105263157894735,1.3245614035087718,0.02596377351870531,1.1782059000602045,0.3274336283185839
frozenset({'홍대'}),frozenset({'이대'}),0.31788079470198677,0.25165562913907286,0.10596026490066225,0.3333333333333333,1.3245614035087718,0.02596377351870531,1.1225165562913906,0.3592233009708737
"frozenset({'이대', '신촌'})",frozenset({'연희'}),0.16556291390728478,0.271523178807947,0.12582781456953643,0.76,2.7990243902439027,0.080873645892724,3.0353200883002205,0.7702589807852964
"frozenset({'이대', '연희'})",frozenset({'신촌'}),0.15894039735099338,0.2980132450331126,0.12582781456953643,0.7916666666666666,2.656481481481481,0.07846147098811455,3.3695364238410592,0.7414007459593867
"frozenset({'신촌', '연희'})",frozenset({'이대'}),0.15894039735099338,0.25165562913907286,0.12582781456953643,0.7916666666666666,3.145833333333333,0.08582956887855796,3.59205298013245,0.8110236220472441
frozenset({'이대'}),"frozenset({'신촌', '연희'})",0.25165562913907286,0.15894039735099338,0.12582781456953643,0.5,3.145833333333333,0.08582956887855796,1.6821192052980132,0.9115044247787609
frozenset({'신촌'}),"frozenset({'이대', '연희'})",0.2980132450331126,0.15894039735099338,0.12582781456953643,0.4222222222222222,2.656481481481481,0.07846147098811455,1.455680081507896,0.888282025819265
frozenset({'연희'}),"frozenset({'이대', '신촌'})",0.271523178807947,0.16556291390728478,0.12582781456953643,0.4634146341463415,2.7990243902439023,0.080873645892724,1.5550872968091511,0.8822966507177035
"frozenset({'이대', '강남'})",frozenset({'신촌'}),0.11920529801324503,0.2980132450331126,0.10596026490066225,0.888888888888889,2.982716049382716,0.07043550721459585,6.31788079470199,0.7546992481203006
"frozenset({'이대', '신촌'})",frozenset({'강남'}),0.16556291390728478,0.37748344370860926,0.10596026490066225,0.6399999999999999,1.695438596491228,0.043463006008508394,1.729212656364974,0.4915674603174602
"frozenset({'강남', '신촌'})",frozenset({'이대'}),0.152317880794702,0.25165562913907286,0.10596026490066225,0.6956521739130435,2.7643020594965675,0.06762861278014122,2.4588457899716176,0.7529296875
frozenset({'이대'}),"frozenset({'강남', '신촌'})",0.25165562913907286,0.152317880794702,0.10596026490066225,0.42105263157894735,2.7643020594965675,0.06762861278014122,1.46417820590006,0.8528761061946902
frozenset({'강남'}),"frozenset({'이대', '신촌'})",0.37748344370860926,0.16556291390728478,0.10596026490066225,0.2807017543859649,1.6954385964912277,0.043463006008508394,1.1600710709093847,0.658909574468085
frozenset({'신촌'}),"frozenset({'이대', '강남'})",0.2980132450331126,0.11920529801324503,0.10596026490066225,0.3555555555555555,2.9827160493827156,0.07043550721459585,1.3667503996346198,0.9469339622641508
